sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.284147873667540086622606857123,15,318.0,240.0,346.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.882553259746963499937751433594,16,320.0,225.0,348.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118285603156422702048573776325,17,317.0,226.0,352.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158623539905795967301588269330,18,302.0,220.0,341.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120321169226519599406236058507,19,299.0,216.0,333.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238043830991563106777581519982,61,320.0,233.0,343.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270879218008399226927605062813,62,313.0,214.0,347.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310482505875038011098023007597,63,312.0,219.0,349.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222438495022653722030141157844,64,303.0,211.0,346.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218271767008396510031231905516,65,300.0,214.0,334.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280383607620132640179188274511,106,319.0,235.0,344.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111785565856024337469935254013,107,315.0,218.0,345.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143831437869631922282486758920,108,312.0,220.0,350.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261496547010930456057497104808,109,303.0,208.0,348.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223127685579798380245044724212,110,299.0,213.0,335.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.977463699351571374022669723074,111,311.0,221.0,333.0,249.0
