sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.318742852666965884224943043236,14,319.0,239.0,348.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181803162074323558619813191295,15,314.0,236.0,348.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.909485804761087796135373058953,16,312.0,217.0,357.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.186477425361619525551180517881,17,309.0,220.0,355.0,266.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.535715435693500662022244301137,18,297.0,199.0,354.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163309386358902410222842705227,19,289.0,198.0,340.0,260.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193234601080980650576348130507,20,312.0,222.0,334.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229362551653297379176541301554,60,317.0,231.0,346.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290221586116401056017701160633,61,313.0,226.0,346.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338801480913134324328433966720,62,313.0,209.0,348.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.952204018090384739864230599463,63,309.0,214.0,351.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220650567796635646165932581125,64,299.0,212.0,349.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170603064352279521916569488885,65,294.0,210.0,333.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102637393384971197755576702626,66,306.0,214.0,332.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.355705419319515703115222738590,106,314.0,233.0,346.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134377113165468704665676112665,107,310.0,211.0,350.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212658906555193631573802844473,108,308.0,210.0,350.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266030598573120786080965906484,109,304.0,214.0,349.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275875224560055565925748006660,110,296.0,210.0,333.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.428161450293759502701319068727,111,308.0,214.0,331.0,243.0
