sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.150005369410783301925887298235,1,347.0,266.0,420.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162288348857334505513682774579,2,353.0,259.0,420.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160999082478865682478266585348,3,350.0,265.0,431.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197981665841611210688424657038,4,351.0,265.0,425.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.706540842940999870425511323001,5,354.0,267.0,420.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229834027007384349764280788505,6,356.0,265.0,432.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.622763662159727308241352702506,7,350.0,259.0,438.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333536733475800692884577928320,8,354.0,258.0,430.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283716207183510961735029869619,9,358.0,256.0,431.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.525037996112120053644691261291,10,358.0,255.0,434.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117843519318358405849937661082,11,361.0,253.0,432.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.167697543970302568636351826202,12,363.0,248.0,412.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270438172423377535289077548468,13,357.0,255.0,410.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206964696116996954139426126253,14,359.0,263.0,406.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214502036763143887124319792645,15,360.0,263.0,407.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269212661786980365881057917736,16,354.0,265.0,408.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312115616798301262630202911303,17,362.0,274.0,414.0,352.0
