sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.103112278861490576944708533231,1,372.0,253.0,447.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.151195008544821687321983961899,2,374.0,249.0,448.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170771436987984787014282210110,3,379.0,258.0,453.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.308626204381079500409608087442,4,375.0,262.0,453.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264583506343537153237417251007,5,378.0,260.0,451.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.888295591736569906252867143137,6,384.0,257.0,455.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185619261616692499685012381131,7,384.0,255.0,455.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305377679314926583688144729872,8,388.0,253.0,467.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.226803818553030685281048302452,9,389.0,250.0,464.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207538035662033857513868288218,10,377.0,259.0,473.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336877327676537203669334499558,11,386.0,257.0,468.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.461946206566464527671657554873,12,389.0,243.0,457.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322023989197728763268808574586,13,388.0,246.0,445.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.647153453627132333875382687422,14,393.0,261.0,443.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255320390666978570621412326981,15,392.0,263.0,438.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101567357059449599193212967169,16,383.0,268.0,440.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.537406426831262810174059371999,17,375.0,278.0,440.0,351.0
