sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.610598407546823782217512921778,32,174.0,298.0,191.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146076005677039516313297599144,33,163.0,292.0,203.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223363608812835488851259713989,34,157.0,288.0,199.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164809423602924777723827187541,35,156.0,280.0,206.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110530822435353359080977938038,36,152.0,289.0,211.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.335046936568133662551102372561,37,142.0,282.0,207.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234503836876578012742955364822,89,175.0,302.0,198.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205357583530543857604313041529,90,171.0,284.0,204.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206100396488404100644785597065,91,166.0,286.0,203.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164755072905233422817226390687,92,160.0,283.0,207.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208268941910142781667720355377,93,159.0,281.0,213.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207513301254090193426923122004,94,156.0,284.0,213.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289757054541558959474860740591,95,172.0,291.0,213.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177455729587123351497040655717,144,180.0,311.0,192.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229449564540463836859583790977,145,175.0,291.0,203.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.750708175180853251521458019168,146,168.0,292.0,210.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200873028574023730694635777433,147,163.0,292.0,210.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146633281385623520728313292892,148,166.0,291.0,212.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210272849902170588708067099380,149,160.0,296.0,208.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192404930704439206439141922261,150,175.0,303.0,211.0,336.0
