sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.279234414045494079233977364191,22,340.0,216.0,369.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244456989517071763779305652523,23,334.0,189.0,389.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.246346257807387427784588654699,24,333.0,176.0,387.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313282347067912030563967388595,25,334.0,163.0,389.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147059755744410882256707340684,26,348.0,165.0,395.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195843353434545995734485461101,27,348.0,177.0,385.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169269434957181753122675714540,77,331.0,215.0,368.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.157502078312345268064684780673,78,327.0,174.0,385.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.620533849005866117739957596217,79,331.0,169.0,384.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.650766233884124858355639608915,80,332.0,157.0,389.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194226334717433014741734432908,81,339.0,165.0,387.0,266.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.599870397641429406454762028219,82,340.0,176.0,385.0,276.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.598703862839201160465427229070,132,334.0,197.0,381.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321123244215532015920960461607,133,331.0,180.0,396.0,272.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328117781346005664849276732587,134,338.0,163.0,389.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221111777608849419641938270022,135,345.0,164.0,390.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293129382845708601037204179217,136,341.0,178.0,387.0,270.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298352364070131778990082409802,137,340.0,210.0,389.0,276.0
