sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.630335455827028943608006768185,6,307.0,260.0,379.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252492649918312185693288126513,7,310.0,265.0,376.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285377633476039139562121106538,8,299.0,270.0,378.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.608211824433243530041582959677,9,295.0,263.0,376.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228784869059792423729171796608,10,298.0,263.0,382.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282824791953207574000904680984,11,302.0,269.0,382.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238337034437170278189602808791,12,295.0,271.0,381.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150698620966778586450916020700,13,301.0,271.0,375.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150698620966778586450916020700,13,306.0,188.0,344.0,222.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115265790184665484439714526693,14,305.0,263.0,381.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115265790184665484439714526693,14,310.0,189.0,344.0,224.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.596035704427863877543618466177,15,295.0,255.0,370.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.596035704427863877543618466177,15,309.0,183.0,342.0,223.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262306651400693015219467213230,16,305.0,182.0,378.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133638132185482800862311945054,17,299.0,177.0,378.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224063208179845313050993372407,18,304.0,181.0,378.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.702762158568694311748873116680,19,295.0,174.0,371.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.954731568954591940764946956469,20,302.0,188.0,370.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.119988047257200632873236116974,21,328.0,221.0,380.0,340.0
