sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.291391438971599110862688401438,24,152.0,292.0,216.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185283632295752872499944868036,25,148.0,288.0,224.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121212268047986654388970831552,26,136.0,282.0,223.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254396712469725264989824916681,27,142.0,281.0,222.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.634095581337805443941579449213,28,138.0,267.0,223.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.534067885103823546819066437895,29,159.0,298.0,214.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.384857674345237540174968828817,75,152.0,304.0,213.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109966216561744956925181663780,76,149.0,286.0,217.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132932042265231241086987166850,77,137.0,285.0,223.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262541947137234162994461318528,78,138.0,282.0,219.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112117612686386550227313885529,79,144.0,281.0,220.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283995650817730979680820648451,80,154.0,288.0,219.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.272480714319314418575747953978,81,166.0,293.0,209.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.458368182168003868203501325428,127,154.0,308.0,217.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305240115732009093562731047196,128,150.0,295.0,214.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.510205699870905525137346624152,129,141.0,285.0,222.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326964028442714025936622639910,130,139.0,283.0,227.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194588670475941198586829246167,131,142.0,282.0,223.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325633950144038736914908525654,132,151.0,287.0,217.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.180956485503094669964904258638,133,154.0,303.0,217.0,375.0
