sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.261898599253211903654867519153,20,334.0,343.0,372.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.636876995589674608063521758814,21,328.0,342.0,382.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136605979163388683432546526306,22,330.0,333.0,381.0,397.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105275314676282333431401997269,23,328.0,328.0,383.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323697320086214920614800791122,24,338.0,346.0,376.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184491866476311148120055716293,60,333.0,340.0,372.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267632059159204322718686280708,61,328.0,341.0,380.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177285835298011762657091258054,62,334.0,335.0,378.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310431698796259841856619266390,63,334.0,329.0,387.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.303100835282421114174669845035,64,345.0,349.0,381.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252144323569872393200184708271,100,331.0,342.0,366.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247349207762396274930857354693,101,325.0,344.0,376.0,401.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145821751463209929046757796085,102,334.0,337.0,378.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302780716110938485005256173423,103,331.0,330.0,375.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185077515433109129894441239173,104,339.0,341.0,380.0,392.0
