sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.443447135991825902977146951570,26,175.0,309.0,214.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172716081108617384541029526921,27,158.0,298.0,219.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254592039440898605407113127944,28,154.0,304.0,228.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.407219790737524808892417727730,29,154.0,298.0,225.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222822887158912325753294924828,30,143.0,298.0,227.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.482902979272707787134225996343,31,147.0,298.0,225.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210970928820599789095130952107,32,145.0,297.0,222.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.167073846850146966220605648344,33,148.0,299.0,223.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206606743647745097444746920791,34,168.0,308.0,226.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263411960692703222787135830185,35,176.0,314.0,230.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240551160248285310322028301139,36,181.0,320.0,230.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318424749864613292611538644721,37,174.0,318.0,228.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248013711769961339596901096128,38,187.0,319.0,227.0,395.0
