sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.538769809615295780470061923358,23,185.0,274.0,228.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219221859811696701506974073864,24,174.0,272.0,231.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133734725702871234760675526769,25,176.0,259.0,227.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182967193394652723788717224456,26,161.0,253.0,229.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.927632548064429716170803539790,27,154.0,253.0,220.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219400754296941691967370891966,28,160.0,267.0,222.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193218915487341183341958680167,29,151.0,263.0,224.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166662812174547715774407480089,30,166.0,268.0,213.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202126253478478925349753513949,79,175.0,269.0,230.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.144455050072738651583298284831,80,175.0,272.0,228.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101891651428683164763030926663,81,174.0,277.0,229.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122116627470013819452135466223,82,159.0,275.0,226.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.744712310224579072651320094754,83,162.0,268.0,218.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159289339836517668560093971052,84,157.0,272.0,205.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297813919418347116817999427845,85,163.0,273.0,215.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294336575371562098263688505353,134,189.0,274.0,238.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149412529603379576528931053050,135,178.0,275.0,227.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297155241661079680418461062294,136,175.0,268.0,227.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339513122427678255599312647992,137,169.0,265.0,224.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.528428410149220862295015211001,138,161.0,268.0,217.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130275813056024037712286088383,139,157.0,265.0,217.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244558875677264775557375826786,140,165.0,272.0,210.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.271824135295250093119712911082,141,163.0,271.0,207.0,331.0
