sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.154162741278110375096291903774,11,313.0,263.0,334.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.151573151355167342649689205085,12,312.0,265.0,340.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266043342614043482221513004555,13,309.0,252.0,337.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284631998374065439038986593235,14,313.0,262.0,336.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107719719179525804005846365788,72,306.0,259.0,337.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148166743350354679390048653458,73,301.0,257.0,339.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227558467233870672231026945769,74,307.0,258.0,345.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.840519172753851498635394745995,132,310.0,259.0,342.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209943302223333292228232155404,133,309.0,260.0,339.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.441581859281586782591245979302,134,301.0,256.0,342.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.838458347036808094256530777627,135,314.0,258.0,337.0,292.0
