sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.257416027536569988008378388018,14,201.0,195.0,219.0,227.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.782219555439643536760322776965,15,184.0,190.0,232.0,226.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.418247518074997246586237067615,16,189.0,190.0,230.0,233.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.530533351439031280142616987835,17,182.0,184.0,231.0,241.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115872801438894443849620593472,18,189.0,191.0,237.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312136113809452294595767227820,19,189.0,186.0,237.0,252.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248612581164825205660480534934,20,191.0,196.0,236.0,254.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.920830056494300365749653652186,21,195.0,194.0,236.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.765170207522272962245187817980,94,189.0,196.0,225.0,221.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206412222249248396961054943124,95,188.0,186.0,228.0,227.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330443126875841391940438276641,96,187.0,187.0,235.0,233.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298738293966485694097698067065,97,179.0,186.0,230.0,233.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.360960763594788700894639723107,98,186.0,184.0,232.0,252.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189257725523211957415061838435,99,183.0,192.0,240.0,259.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.632068333593390293087738805006,100,190.0,192.0,229.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.709816816571508425838053340848,101,192.0,186.0,231.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300403782430803265414832680996,175,187.0,191.0,228.0,231.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.533931707633761209848654997524,176,185.0,189.0,228.0,226.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103837929173084448738910364800,177,184.0,186.0,230.0,237.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285661806331316936921615961691,178,181.0,183.0,230.0,251.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228652013146591708124393010755,179,181.0,188.0,229.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225748601550996546007863247690,180,184.0,192.0,242.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.231736655509350282707802815474,181,189.0,186.0,238.0,256.0
