sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.205384085699756780785832514617,38,195.0,112.0,237.0,147.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326036861475730556341406611607,39,187.0,112.0,239.0,151.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.640065381036832143998438286090,40,184.0,108.0,239.0,154.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197796365057417505862269903214,41,184.0,112.0,246.0,153.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185783579249563431221411227899,42,186.0,97.0,239.0,152.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253953089919941979498933844689,43,191.0,107.0,243.0,139.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133047080024797129395202033702,94,196.0,116.0,232.0,150.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.565359023259457600707334642876,95,181.0,109.0,239.0,159.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288152447503303636851303899197,96,181.0,106.0,250.0,156.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330457005801602649596210512189,97,186.0,107.0,242.0,148.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294575602830826199595721618855,98,189.0,106.0,255.0,150.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110288391009652137457693317351,99,184.0,99.0,243.0,153.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.922031912363208181836539447487,151,198.0,127.0,233.0,159.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146381496594223498900249801146,152,188.0,118.0,237.0,162.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306969717150791448022015235690,153,190.0,115.0,242.0,165.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.226220046599580128211521563405,154,190.0,115.0,245.0,162.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182808867746209055943597187263,155,181.0,110.0,245.0,156.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265379122070144615012208426876,156,181.0,117.0,241.0,153.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293496312094559103923113480115,157,192.0,121.0,240.0,150.0
