sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.137975397393104690181014091065,6,206.0,262.0,234.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149517933580777314164274619787,7,200.0,261.0,232.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110437217882586203486758240646,8,201.0,267.0,235.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.998410797262017128034307844154,9,201.0,272.0,235.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100913621228224561672876343339,54,206.0,259.0,234.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.787275535388035356249180421456,55,201.0,262.0,237.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240450434377309265351984481953,56,198.0,274.0,234.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.949366596348930624937608866236,57,202.0,268.0,239.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270758244140683673215471185563,101,198.0,266.0,229.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.820616682757457556419988014774,102,192.0,258.0,245.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.512967046920066579180106425058,103,192.0,261.0,236.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.231661175217890365035857099271,104,199.0,269.0,240.0,325.0
