sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.199306352170361188294245555511,42,291.0,312.0,331.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129770143352895469876270508263,43,295.0,309.0,334.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134769790685516762587105335824,44,292.0,307.0,337.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110401497238380001737668819242,45,289.0,312.0,334.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255353428428589720132387165560,46,295.0,315.0,334.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.896052493911686178091634781322,47,293.0,309.0,338.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244541677973014002199168826373,48,290.0,314.0,340.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149114469222810005281938917882,49,289.0,307.0,338.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148071481409895178903339028526,50,292.0,308.0,339.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.864663927343528644328994926828,51,289.0,309.0,338.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255188281594040500071628456166,52,292.0,312.0,339.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.341897395521717040132134252988,53,289.0,312.0,336.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259954676954899972474458463199,54,285.0,306.0,335.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252781449943970447602817635653,55,283.0,306.0,334.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.424296302426630612057578231627,56,285.0,306.0,333.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234113768108431761695574348063,57,284.0,310.0,339.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230215360681922442965890459002,58,290.0,310.0,336.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286627108718354328839746419049,59,282.0,312.0,333.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145084414059990083115659875565,60,284.0,310.0,332.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223858828197796947376743017584,61,283.0,309.0,340.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252100737495305831748031521030,62,280.0,306.0,342.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.938834621953567961191615513908,63,284.0,305.0,337.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.335210091766458397197934543360,64,283.0,307.0,336.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.599787988490213995776987899936,65,273.0,301.0,339.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142899896753716674664546434332,66,285.0,315.0,339.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164545013689575142995177071901,67,287.0,313.0,344.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.585795952167695049518760146018,68,281.0,309.0,338.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263525920983674288471043709833,69,280.0,309.0,328.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158729922098506576669313678090,70,287.0,306.0,337.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268084375049666098552696042588,71,280.0,307.0,342.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175228515565595872951048085372,72,286.0,307.0,330.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338897265641564197297253352385,73,287.0,303.0,332.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289502259632684233144095903098,74,290.0,304.0,338.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183074706081012411432583037866,75,282.0,304.0,338.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325789929633366397186547236927,76,276.0,302.0,332.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.927113367138796786487472921927,77,278.0,306.0,339.0,356.0
