sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.127269432852639641154956577205,33,321.0,279.0,339.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170313570084730639315811822135,34,319.0,278.0,342.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149671762318836550906528534875,35,322.0,275.0,341.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.119712514599350155180791641874,36,322.0,274.0,344.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218942024492889873628464633675,37,325.0,273.0,346.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305424900284460005394868459414,38,322.0,261.0,348.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297861686876278304688218497311,39,323.0,268.0,348.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263110914527521066777629565137,40,323.0,263.0,348.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147620193282791677111056467207,41,321.0,262.0,351.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171321850198432011376849996082,42,321.0,263.0,351.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311133861666175444013541687704,43,322.0,265.0,359.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132332355971956074760288726236,44,320.0,262.0,355.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323931583771577148825626371445,45,326.0,268.0,353.0,295.0
