sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.219361969119914499390092915846,10,169.0,259.0,227.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215154747513673730023098831947,11,166.0,257.0,238.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243686343406110004335240475879,12,172.0,249.0,234.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.434962439362570892820242811996,13,171.0,245.0,226.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192489373902812791397015498855,14,169.0,273.0,234.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.887652448234922037621205545125,15,185.0,272.0,236.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204082788066761893675487270492,66,167.0,276.0,222.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125114881378012458099916671883,67,171.0,267.0,237.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103662782690715585496613644898,68,169.0,254.0,230.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161419085991493701208600395916,69,153.0,245.0,233.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337562483569674582004330670059,70,166.0,268.0,244.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282414915592641807469212820690,71,172.0,272.0,243.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261843761792196549672919447684,72,178.0,278.0,223.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.573407590703102653372356281478,122,163.0,268.0,222.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.335027724411865027184327421026,123,165.0,268.0,228.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319270136950156392372685186984,124,172.0,256.0,236.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153052111859986541480204865470,125,168.0,250.0,245.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.894730514060951446087662233626,126,161.0,253.0,242.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185352341472230210890884734960,127,179.0,268.0,239.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.360440857674077566122338631602,128,178.0,267.0,231.0,321.0
