sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.115031588322045003734268436514,31,362.0,253.0,407.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138608851713169692535252920659,32,359.0,245.0,408.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.415785741549348506535528211083,33,355.0,250.0,416.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252873229909823919120331228201,34,354.0,244.0,410.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219844421609091864519837140997,35,363.0,245.0,409.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.825403889074986382390741248174,36,358.0,248.0,410.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133848894888916492610450008183,37,378.0,259.0,415.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.910398435620538634648884010243,38,375.0,264.0,419.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331480226397040987248246395675,39,384.0,262.0,430.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317485089305193199450199797966,40,398.0,267.0,423.0,302.0
