sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.749379765475301115945616051706,50,321.0,189.0,350.0,243.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216303305758051926499879475382,51,315.0,193.0,343.0,245.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279109619025461679817225339926,52,314.0,189.0,354.0,237.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122142171717411855081653527132,53,313.0,194.0,358.0,249.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334100535298586491814006946372,54,316.0,190.0,353.0,241.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279095353487698725173974589448,55,308.0,193.0,358.0,247.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138157138599675455794588193397,56,316.0,199.0,363.0,248.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219221323808481181244504960310,57,308.0,186.0,357.0,240.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.449719874269569914615182925704,58,304.0,191.0,360.0,246.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338700491520469017468669679188,59,299.0,190.0,360.0,245.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133892632289021590625939944696,60,313.0,193.0,352.0,241.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.513126335352000865221565927917,61,314.0,192.0,363.0,239.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.989288022867808182878646850987,62,312.0,192.0,360.0,240.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227848293878614847505165192898,63,311.0,191.0,354.0,244.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191448901352092896697434736215,64,314.0,195.0,365.0,251.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.598853468024075357303227920643,65,316.0,192.0,360.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299749757448245356681439295833,66,311.0,188.0,351.0,241.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239764178486368629712120133084,67,315.0,198.0,361.0,245.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305331862209608809996797518458,68,311.0,192.0,345.0,244.0
