sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.131344613534716531727672113567,35,171.0,284.0,184.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.582819104766062038566057685189,36,167.0,269.0,189.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334216837707064625748169056498,37,163.0,264.0,184.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233883279755185652644428617376,38,169.0,272.0,198.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184968499596852979564674170515,39,171.0,274.0,191.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178393209048909465303123046153,40,172.0,273.0,195.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176549458030123831558760227860,41,174.0,275.0,193.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101000900610617184701526787276,42,168.0,268.0,202.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282303521100862970166491148878,43,172.0,271.0,195.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.585455823689642329107417810915,44,172.0,274.0,201.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120539868522098454209118117710,45,176.0,277.0,194.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.556474662732324118600077172631,46,171.0,274.0,204.0,301.0
