sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.639255660603853827601875887541,35,169.0,277.0,182.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336255093166479935360948209359,36,167.0,274.0,192.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137774407316029843505834745715,37,165.0,271.0,188.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175078209195321916134622669128,38,170.0,275.0,193.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113554650701550929774239374494,39,172.0,275.0,192.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.364138553920343763276529858163,40,170.0,274.0,194.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.272290633726642373183366382832,41,175.0,275.0,192.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227998525070335986961079717079,42,174.0,274.0,198.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288108923784994592494025688936,43,173.0,271.0,193.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124732106671378029628929533854,44,174.0,275.0,201.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.139895434648636572897987251521,45,175.0,277.0,196.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.749907232426820494747977161943,46,175.0,271.0,199.0,302.0
