sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.215657840366030868046797667332,20,307.0,263.0,369.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.516765783832544461215881797466,21,309.0,256.0,358.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254172540841959377836652741932,22,301.0,254.0,372.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236649715429956400582296480036,23,307.0,256.0,370.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220925091029025730944527764260,24,303.0,263.0,367.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.930524703341375483350326710200,25,298.0,250.0,371.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121000100821202302091846557933,26,295.0,251.0,369.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100902371209408987392620458592,27,295.0,238.0,375.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.537445556369745479375317132541,28,297.0,256.0,357.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239687155621558174184198753951,29,302.0,248.0,361.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288713891171655665260936094019,30,291.0,264.0,363.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242038710504874063347774169293,31,292.0,262.0,362.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189709472136946651473875666307,32,304.0,259.0,363.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.390941349530709252856150467712,33,303.0,259.0,366.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.713480038368702006976682589377,34,309.0,239.0,368.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133897880370979148665557274751,35,299.0,239.0,365.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324515287508153210621315522030,36,305.0,246.0,375.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120272429673320239250663843505,37,308.0,248.0,360.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160161445971261865553209246922,38,312.0,244.0,369.0,295.0
