sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.340126752511200714074425175840,19,289.0,290.0,342.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152651100479586366890554973456,20,295.0,268.0,369.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.459435289656534004282547015957,21,304.0,256.0,363.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205188512867828880499049813817,22,303.0,264.0,363.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140009194390684278532675937981,23,307.0,273.0,363.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282520763563514137659008075152,24,303.0,270.0,369.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.759931372732697577357536410751,25,299.0,266.0,375.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.912564732914042835944601228276,26,295.0,254.0,369.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292763156352771655888004339860,27,295.0,246.0,374.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.945790037293770684515123636765,28,292.0,256.0,348.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322441622088836384079746310893,29,292.0,268.0,361.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.131274533838154149281344519520,30,291.0,263.0,362.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137871383200148582309954347315,31,290.0,256.0,358.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.982923237838682972286064721205,32,297.0,250.0,360.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137393750963467763999554301427,33,293.0,254.0,375.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318633914175461445246632750820,34,298.0,238.0,363.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216548114668749519889656215617,35,304.0,247.0,362.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174819703455511630833812462211,36,313.0,245.0,372.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285809116930610502856274913815,37,315.0,250.0,375.0,312.0
