sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.140694360542475634640885631634,156,299.0,283.0,340.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.469826835078431180025369636419,157,296.0,280.0,332.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129317464430831794473673839700,158,301.0,285.0,335.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204999855416678300410946915701,159,304.0,281.0,337.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104112456776282452307327314620,160,295.0,283.0,343.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138064184634647338979637602512,161,297.0,283.0,337.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.686448331668239232441505460527,162,303.0,286.0,338.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.471569274316122837724412727676,163,294.0,289.0,337.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118310987862697842680991899215,164,298.0,293.0,351.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.592358137299223193059665525754,165,295.0,288.0,340.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292640919252150439400269053427,166,303.0,289.0,337.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.272063955391576843152752246800,167,302.0,284.0,344.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.296425814615585862108621750425,168,306.0,295.0,335.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333358376156787677939277564936,169,310.0,292.0,339.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.815185165380795014001834650135,170,306.0,295.0,348.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.627820276723330108073433354980,171,313.0,298.0,341.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.608556077764301894773764384449,172,307.0,298.0,342.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.636057252025485344321873675422,173,315.0,295.0,342.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235172836174384194292130821787,174,306.0,293.0,338.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223339187578702391844773470897,175,307.0,293.0,350.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244237881920815629957375773125,176,313.0,297.0,347.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.555469185436238525192927120252,177,315.0,295.0,345.0,330.0
