sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.131465573901240202740705504273,14,316.0,247.0,367.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.699676268700910073934715216911,15,320.0,235.0,370.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.904869409116640754701569749849,16,319.0,227.0,365.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108522609601500560523132057372,17,325.0,233.0,366.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.597236959706939407685329536512,18,323.0,223.0,375.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275476048998448622867243090394,19,319.0,215.0,374.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277666366015659815253885344207,20,336.0,229.0,368.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239290621328318413501752974518,70,321.0,233.0,360.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135973396783469445143805986558,71,322.0,229.0,365.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.558259040976861792816970906568,72,316.0,210.0,363.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278144771895010064895069170769,73,312.0,204.0,366.0,273.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126207162863205991075057508533,74,316.0,206.0,369.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.637696761162288143012727114212,75,323.0,206.0,367.0,260.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114419390695216200085832334594,76,325.0,202.0,350.0,251.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338246511984488776226056682753,125,317.0,233.0,363.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149438841601505280535877083320,126,321.0,221.0,362.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205549353172450653410995473347,127,300.0,215.0,365.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178646209771107524794941471373,128,316.0,215.0,374.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129111056932766283167846332348,129,316.0,203.0,369.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223037530916955516198984520878,130,323.0,207.0,374.0,269.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114977645269946253731855480164,131,315.0,204.0,356.0,259.0
