sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.232145530359031694982987358520,5,282.0,255.0,355.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153863505732597649591050568703,6,284.0,249.0,363.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192859524181840120664239551270,7,269.0,237.0,372.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194073693790487842112649845334,8,267.0,215.0,371.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189564457782098841068903239074,9,260.0,213.0,377.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299884673194032166301950870627,10,269.0,218.0,378.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200349170918131647590830689504,11,287.0,219.0,381.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.808727147613931630428761715029,12,288.0,216.0,375.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267141597783697154185753317047,13,298.0,212.0,360.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289406704440677626938708979239,14,299.0,236.0,370.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297242043569072640402167213387,15,304.0,236.0,343.0,292.0
