sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.292427250240704087601433076645,53,228.0,292.0,250.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263336656393931376256811231329,54,224.0,293.0,248.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281855359036357123591806376711,55,222.0,292.0,249.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.340008786624018624370450323720,56,223.0,297.0,253.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194479096189516081212726174302,57,219.0,298.0,253.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270341069553538218956911443099,58,219.0,289.0,252.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190230768825107664871264551696,59,222.0,291.0,263.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247551843192271413216504299095,60,217.0,292.0,259.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179928545079018039480435314572,61,223.0,292.0,251.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264037022247534681465010430771,62,227.0,292.0,250.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171674762675236249399937802597,63,224.0,295.0,266.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276861773956750985902609948527,64,224.0,296.0,254.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163625644431606717440869070214,65,228.0,292.0,263.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282987552748873020080949767430,66,226.0,297.0,259.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253490395766591251453832611136,67,229.0,294.0,256.0,322.0
