sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.204769215772418036891967967915,103,146.0,237.0,173.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207745765994989720529734733736,104,151.0,232.0,175.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330770206061759471480307157525,105,148.0,233.0,175.0,266.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177121430040496204648913657820,106,148.0,231.0,177.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282421676322005542020575837421,107,146.0,227.0,175.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155743810695993217508011332929,108,146.0,228.0,172.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.850938205957647682152795556769,109,146.0,221.0,180.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134257654166327153933716482678,110,140.0,229.0,184.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107849178909169726232887369484,111,141.0,231.0,185.0,269.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171675365807442121788872637847,112,143.0,229.0,179.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133403636408430816148655441596,113,142.0,225.0,181.0,269.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256772594051172546941279974414,114,142.0,230.0,178.0,266.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123828918395009690971916122299,115,147.0,231.0,178.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122886903430967421789931725923,116,144.0,232.0,181.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.335945789561865156982313210285,117,142.0,230.0,183.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324691969286525660810383237246,118,142.0,225.0,176.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275637425772850919413246217434,119,150.0,234.0,183.0,266.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194330057542082517313536538253,120,142.0,228.0,177.0,260.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142809556703381579619005288020,121,144.0,230.0,184.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212067670211471758393519053850,122,145.0,230.0,175.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189902149165270737930080865713,123,145.0,232.0,175.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318578988694848990195598831039,124,142.0,227.0,178.0,269.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221442417794782737938772014437,125,148.0,233.0,175.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.798807386603683826647222734069,126,147.0,233.0,178.0,273.0
