sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.286067693056087817271310101984,167,170.0,198.0,208.0,245.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.231752467979654584243483087758,168,170.0,206.0,206.0,246.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103188731400386594358752059535,169,169.0,206.0,200.0,242.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120434313919511614554312092764,170,168.0,206.0,202.0,240.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130334266648623467068038467571,171,157.0,199.0,196.0,244.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.889524757335703908506273565162,172,164.0,202.0,198.0,241.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.449300964240151613126015484777,173,166.0,204.0,205.0,247.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338913748566395107626365527846,174,169.0,204.0,203.0,241.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278091469629678514644031326674,175,172.0,207.0,203.0,242.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.475377389701792384314382110396,176,163.0,200.0,206.0,242.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248576750103612634509510012437,177,170.0,203.0,203.0,239.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178772232828374544771737127764,178,164.0,205.0,201.0,239.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184837894805374572085824400203,179,169.0,205.0,208.0,238.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311965728312536331954119636324,180,171.0,209.0,198.0,235.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269733625824991047356211372557,181,170.0,209.0,199.0,244.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105311559724535680995430937204,182,176.0,209.0,193.0,239.0
