sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.846910887755782188901895924667,29,169.0,286.0,195.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225250141115166050346558672431,30,163.0,287.0,191.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225845652207533780241404365748,31,167.0,289.0,195.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166547067784126016365709794984,32,157.0,282.0,193.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187921340422237451027877314553,33,161.0,278.0,194.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211727621586346860346450980246,34,151.0,280.0,195.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147662999591306179266548817040,35,148.0,269.0,211.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.315634288124377346346125382231,36,144.0,263.0,201.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152638657070278600738186440646,37,145.0,267.0,201.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280843765738565008840825162122,38,139.0,259.0,195.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.345394744177685211989591844572,39,131.0,250.0,208.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232239422738546645898317974952,40,134.0,256.0,201.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117157722998525238068148176591,41,142.0,262.0,193.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.515312216608208340334246479862,42,136.0,261.0,196.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.534111532716695858369490137909,43,141.0,261.0,201.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275515300787321307134416778178,44,138.0,255.0,201.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.489244920716490976497980255418,45,144.0,256.0,192.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279891481114513303348545296474,46,139.0,259.0,197.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.814998959866847744179473515565,47,147.0,261.0,196.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126867820654898881726894740840,48,149.0,261.0,201.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191821532310001845429634527775,49,150.0,260.0,207.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.496397384965564987906584061488,50,154.0,261.0,196.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284421106693408605462259028951,51,157.0,264.0,196.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137578264408845557055134456174,52,163.0,267.0,193.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217781777329715418397697087963,53,160.0,263.0,196.0,310.0
