sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.429903405371986575772528177269,29,167.0,287.0,192.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252942721066066854938259769759,30,160.0,282.0,196.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306038252304975719998235158129,31,158.0,285.0,191.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190853844291654239807239163234,32,157.0,284.0,195.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262385341530726070939392852666,33,157.0,279.0,201.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138044905513420002647110875883,34,151.0,267.0,193.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177987957466744644880921228182,35,135.0,271.0,198.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210841372576799681585161691521,36,142.0,272.0,202.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.201161767805682344998329656393,37,134.0,273.0,196.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179655155962244987176113568018,38,134.0,264.0,195.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307339904926751531216437657283,39,137.0,256.0,200.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314520456444520962261015362232,40,138.0,262.0,202.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176830056139385177295914980183,41,126.0,261.0,207.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214123443670488532103660802782,42,145.0,262.0,195.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.375665256734227381834066609031,43,138.0,258.0,200.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273303889830684568040197602250,44,133.0,257.0,200.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283877662877248922335853125383,45,139.0,257.0,198.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164493038677598585457819431087,46,145.0,261.0,195.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105631752756603249282356883649,47,142.0,256.0,198.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196245401131015758209924768033,48,148.0,256.0,195.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323879650923322525406033640700,49,144.0,250.0,195.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336261512690519484670171353683,50,148.0,256.0,200.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256455694878443208803017705069,51,151.0,256.0,195.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234496882549596886315511782105,52,157.0,260.0,198.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256321113591394161193137969239,53,163.0,259.0,192.0,314.0
