sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.108701782929319263465443695926,117,90.0,232.0,127.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181513363397989690215502859323,118,92.0,232.0,132.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273348657021045927752939315810,119,91.0,228.0,130.0,273.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.469154116680332896139778308285,120,92.0,230.0,133.0,270.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256807571341586660201420134061,121,87.0,229.0,134.0,273.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267433939790063609337928593414,122,83.0,233.0,137.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184372287372874060679118049309,123,92.0,225.0,143.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146560784858896335924324110662,124,89.0,229.0,134.0,276.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276975149271371307852728937331,125,98.0,236.0,132.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.937932906053341290178731731091,126,92.0,229.0,131.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217523086537972701323419011067,127,99.0,238.0,131.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152483752707488512488170209746,128,97.0,237.0,129.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.362440996068357749713671534817,129,102.0,239.0,133.0,271.0
