sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.331216014103756560335150827147,117,93.0,236.0,123.0,266.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337892245623215250816038793944,118,100.0,230.0,130.0,270.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197268060760512529284645067340,119,95.0,232.0,133.0,272.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150022384611037012024331592751,120,95.0,236.0,131.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129187071304224561250329901660,121,87.0,236.0,139.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212506602804093624820816463519,122,85.0,233.0,133.0,272.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133685293878359202736800968091,123,90.0,228.0,139.0,272.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.639824722431693838882542791838,124,90.0,229.0,133.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274698640510115831041371617746,125,98.0,234.0,131.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146978362654422414851602132987,126,90.0,239.0,136.0,273.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111547677257119150655452340387,127,95.0,232.0,128.0,272.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161795805987838735009391193006,128,98.0,238.0,129.0,272.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164552668553425662968290357123,129,95.0,239.0,124.0,271.0
