sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.250168262071886089858623016204,103,113.0,263.0,129.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185207337322040370792541395342,104,110.0,258.0,131.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216080864540209919427993694722,105,105.0,258.0,139.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165427825363144410748356519881,106,109.0,258.0,137.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265695592275603502924700555694,107,108.0,259.0,139.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300010438375400942976983560407,108,107.0,260.0,134.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.963195823215068257308282032962,109,108.0,264.0,139.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191824879758965536167875578061,110,110.0,262.0,137.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.725074356225424952673511040343,111,107.0,259.0,139.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190785405009885486283626677113,112,110.0,264.0,140.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237520242394186780955003313892,113,110.0,265.0,140.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122374866167005312270688661327,114,114.0,265.0,142.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172583960021863890165689370733,115,113.0,268.0,133.0,289.0
