sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.221348398165189433732417833192,6,148.0,312.0,207.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124607174169737598266718595728,7,148.0,315.0,216.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141769383320744196740854286401,8,121.0,318.0,222.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.992247523990105686404140335731,9,115.0,309.0,227.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.592667659597965231074592439185,10,110.0,306.0,228.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.875136408501197509239219384764,11,107.0,309.0,231.0,413.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166542539044642847390424636567,12,110.0,307.0,236.0,417.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218888879216777655257068635067,13,117.0,301.0,237.0,412.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194211675516521489279129909959,14,118.0,301.0,237.0,409.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.501666063688204651982396656574,15,130.0,309.0,236.0,414.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.340352958585589913418234782173,16,133.0,310.0,232.0,408.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192882703098506135896792555565,17,142.0,309.0,226.0,409.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115968120059620226755041374609,18,154.0,305.0,219.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220025473807380842403939257069,19,146.0,319.0,197.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221214797457089767881730949217,77,150.0,308.0,209.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224967289504515866659761053099,78,144.0,309.0,212.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236629578634712608843189293521,79,147.0,309.0,219.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.295478603596565442596285479340,80,154.0,310.0,223.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262014057677347378086636620146,81,117.0,302.0,227.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.373154732717010537376585128707,82,97.0,304.0,233.0,396.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.332063174286731512328445791283,83,104.0,298.0,228.0,410.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300815209657166404863483102805,84,110.0,295.0,240.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236644751310189822201177951017,85,122.0,301.0,242.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108143127758112682164263152715,86,131.0,295.0,242.0,405.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192345506232971855133096947841,87,134.0,300.0,239.0,409.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257748359643019981057581086675,88,130.0,306.0,241.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232444504842104594281106441990,89,147.0,309.0,230.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236605381600059195374302349524,90,150.0,306.0,223.0,396.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.877383524564529795371966998118,91,149.0,314.0,202.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.572248329100986737748183316137,92,154.0,306.0,188.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238146383680966482664751147664,150,151.0,309.0,210.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211245018438662097470298486263,151,150.0,313.0,225.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133616922251409636887809662346,152,148.0,315.0,225.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.186177003150212236907165415466,153,117.0,305.0,227.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215487111655222829425306951762,154,112.0,305.0,230.0,407.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319883856079529700414168997741,155,94.0,305.0,233.0,409.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273518345243604103360196772573,156,107.0,300.0,236.0,415.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.516234543888758394406094956564,157,115.0,305.0,234.0,415.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127689378809603569661205674291,158,123.0,300.0,241.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213363836922656849158065964900,159,128.0,308.0,238.0,409.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331402965572986309571344027081,160,132.0,307.0,236.0,412.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248882656486860469014506814586,161,141.0,312.0,233.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297290771762340801927907267696,162,152.0,306.0,219.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.400283503453709551277883765487,163,151.0,319.0,204.0,396.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104402552355513806685855869817,164,157.0,303.0,188.0,348.0
