sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.116951275736439473117514236359,9,125.0,286.0,187.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.691074091024569716179331854123,10,133.0,288.0,187.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106150889741072286020310810073,11,139.0,268.0,195.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313151520030864169047641281611,12,125.0,254.0,193.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175621677876386496640628991453,13,119.0,248.0,200.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312369058516784895850339696807,14,120.0,258.0,187.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.590434699111518525759235635377,15,119.0,265.0,194.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.304274270832950476693491854221,16,130.0,262.0,195.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209464326959771021961533787568,17,128.0,274.0,202.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324868845924121010486247618688,18,135.0,279.0,189.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297980910456572103817257772910,19,148.0,286.0,191.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.774468924679694839227838911417,74,132.0,287.0,178.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.619568331313716450086717962854,75,128.0,286.0,187.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320467035434602457209620065322,76,125.0,265.0,194.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153347080976941375627237454297,77,128.0,254.0,204.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328615125577928932873475322850,78,121.0,262.0,198.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.332022475036199889575224984690,79,117.0,255.0,195.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210683508899204630520974390054,80,134.0,268.0,190.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185018893666474175071806552928,81,128.0,269.0,188.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117179520135130282982038573782,82,130.0,269.0,189.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.231953119655682166360984566277,83,142.0,283.0,199.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216012975731473458087736435565,84,145.0,283.0,206.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267513016173350714340737683840,138,139.0,288.0,178.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285146162964228079347676009629,139,137.0,283.0,185.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203748333066677354483686107444,140,129.0,279.0,193.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.554307029374868557674751677857,141,128.0,266.0,195.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.157849164118260311129317652236,142,122.0,255.0,207.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.131225952483389106365761713625,143,114.0,246.0,198.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.167472373208751662816663086268,144,112.0,256.0,216.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127841984915348716281650537006,145,126.0,256.0,216.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333906817394879156597987070503,146,128.0,265.0,198.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.610499798785466072368279480487,147,132.0,268.0,198.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232029697296287287356597392718,148,144.0,273.0,192.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.743224942012329823020909000166,149,150.0,285.0,198.0,328.0
