sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.320365264460147600316344438656,9,123.0,287.0,172.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.304426532634495473846320491737,10,123.0,282.0,189.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171965641021633065449357634497,11,122.0,273.0,192.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.812261802963337153065058738959,12,122.0,254.0,194.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.777472971224480805620169467285,13,113.0,259.0,188.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253048179497310854871285185218,14,125.0,254.0,189.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339363297067192350591297117315,15,110.0,259.0,192.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319191162552907186662413295975,16,116.0,261.0,189.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156105082771274390916762664990,17,131.0,280.0,197.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133211961659567981419757063330,18,136.0,278.0,195.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292161116664710086671750565899,19,149.0,280.0,196.0,328.0
