sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.202653926748792220214357700729,58,149.0,183.0,192.0,219.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190047096096487262092158294396,59,150.0,180.0,197.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155630141580774541486343815318,60,148.0,182.0,201.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.499206498440758087287571840489,61,147.0,185.0,188.0,239.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219619788677982445477842547750,62,145.0,178.0,192.0,230.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202334995447615261412716547621,63,155.0,178.0,207.0,245.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306590784181815626882879280771,64,152.0,177.0,190.0,230.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230533105141653768754570963818,65,157.0,177.0,199.0,237.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263603738034818250019528876046,66,157.0,173.0,193.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107834502114305214753892757166,67,145.0,165.0,194.0,238.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.157121010218594560847035551188,68,156.0,176.0,197.0,230.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262636120457067023294584140997,69,157.0,177.0,196.0,227.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115136878016575276095441712948,70,150.0,174.0,202.0,237.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.456469144289740817373992610609,71,149.0,174.0,204.0,233.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326907650180617730704470502629,72,151.0,175.0,198.0,235.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294129964419160613889496485887,73,148.0,176.0,193.0,235.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327764651549062370239757559423,74,158.0,175.0,195.0,229.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212046566050614292780761340985,75,144.0,177.0,203.0,242.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260493274839483078498507544068,76,142.0,175.0,196.0,230.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118330195802905119386837924789,77,161.0,182.0,208.0,232.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174026415926203343356042094420,78,162.0,179.0,205.0,231.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258378791905795110038081940855,79,159.0,182.0,194.0,226.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324502756571488671468803924774,80,154.0,183.0,199.0,233.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.612405399673704060896600747941,81,157.0,188.0,198.0,224.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.483107277779207446186091626894,82,158.0,186.0,204.0,230.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143720219150264518165905866310,83,164.0,184.0,202.0,224.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175347964089009676590999963061,84,157.0,188.0,194.0,216.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260665793861098499457928384782,85,156.0,195.0,197.0,232.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140969569660970671607255869680,86,158.0,190.0,207.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277823154552095899695462849282,87,164.0,190.0,200.0,230.0
