sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.775985567557467070580808355786,59,156.0,186.0,182.0,226.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128631840803722941878039292553,60,151.0,184.0,187.0,230.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.554500934429980098779355501383,61,147.0,180.0,182.0,234.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.628119612578520333420299439258,62,154.0,187.0,192.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.477247930007596302596958754841,63,151.0,182.0,193.0,238.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100662606721255006756405504943,64,151.0,177.0,197.0,232.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.395639032973753498770573132869,65,155.0,177.0,195.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294612872577483858081525398665,66,157.0,176.0,200.0,243.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320706795500419934983130287694,67,153.0,168.0,189.0,230.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.332582946489581103007751965620,68,152.0,176.0,194.0,242.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148078139716255071143017083356,69,152.0,176.0,194.0,227.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.939884666285945023866141816536,70,148.0,173.0,207.0,243.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108103340826068317464814905142,71,154.0,179.0,202.0,239.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.935515917839579492629499642433,72,153.0,171.0,198.0,232.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.421242458546890236569863139676,73,156.0,175.0,202.0,231.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.878450489839392108444045030383,74,157.0,178.0,199.0,230.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187937820899216499620144273649,75,150.0,176.0,195.0,232.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143433785298654358698623287708,76,146.0,174.0,193.0,235.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190289545039567887630312809354,77,161.0,179.0,193.0,230.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244934865555325108588134640274,78,151.0,180.0,201.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251672513617263243713652957003,79,159.0,185.0,208.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181411049007438087759048584998,80,157.0,180.0,204.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266443989134548606613228299194,81,156.0,184.0,205.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229923545452646408067410480465,82,159.0,187.0,206.0,233.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154442141896101122982307591679,83,145.0,174.0,204.0,228.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170868442423926487843493415167,84,159.0,186.0,203.0,228.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252110250709300993869068077228,85,160.0,188.0,201.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178489919964383925031034958677,86,163.0,178.0,199.0,240.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274132006731890610945168293529,87,155.0,183.0,194.0,233.0
