sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.209900772947410323536378729788,41,196.0,271.0,226.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195011703686256937275809733198,42,197.0,268.0,231.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123469692260808684994192477035,43,191.0,265.0,225.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.908753976209440029424014507459,44,190.0,265.0,223.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293801398510496460185446502093,45,195.0,273.0,234.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.923000083689054797084715337607,46,189.0,264.0,234.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200085035412740152924025373083,47,189.0,266.0,224.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141149834471436104803397115336,48,187.0,268.0,230.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108513345929842828760926842236,49,193.0,264.0,242.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161000433770347554319750794173,50,197.0,265.0,233.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265978669890117295113895362068,51,197.0,267.0,227.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.713922221488961064285100229064,52,202.0,270.0,233.0,304.0
