sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.615941853799848017473563553656,18,92.0,289.0,205.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241480366005346198327763738270,19,96.0,288.0,208.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138869718411606103379753549229,20,93.0,281.0,207.0,419.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.895188234525892619073579774044,21,91.0,281.0,201.0,419.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164636349725335994546145241394,22,98.0,273.0,215.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326133475397263591860223087522,23,92.0,267.0,212.0,420.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310856562407971547185558354561,24,95.0,265.0,211.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202455720258291402223220030093,25,88.0,267.0,216.0,414.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323712292056888940291452803615,26,85.0,266.0,203.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254424771045639755033945346668,27,81.0,242.0,198.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.497741120755770944568406848016,28,78.0,264.0,190.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200952284857677161431493431804,29,77.0,275.0,186.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311462989942026507717144902765,30,87.0,286.0,179.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.418942477520404353864132769469,76,87.0,289.0,208.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103984792058867525425128771378,77,93.0,283.0,208.0,414.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254576193817380132982070409292,78,93.0,281.0,210.0,420.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313890242100450051881664305523,79,91.0,275.0,208.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.885086714299558678487123377036,80,89.0,267.0,215.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230500588180068410219560861153,81,87.0,262.0,209.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.303926814502167468800290179482,82,84.0,268.0,205.0,413.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156296001363263516575248586792,83,77.0,261.0,195.0,409.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227039585330132855097351531137,84,85.0,253.0,195.0,399.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224884044891467727302872414968,85,78.0,266.0,190.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209886553811503496391629294354,86,85.0,277.0,184.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128435441124546997962812026465,87,75.0,280.0,176.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281571685695127159409924869233,134,103.0,295.0,202.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194152125230564595330320738645,135,92.0,290.0,208.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164607350844301988497982309326,136,98.0,288.0,212.0,420.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108306508951580038923815801950,137,96.0,286.0,206.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.834452401521997777027566963152,138,88.0,282.0,207.0,421.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.833248239169011933044954235087,139,93.0,274.0,211.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193752745567539980960463459445,140,91.0,269.0,213.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240724485979321504849951752474,141,87.0,269.0,208.0,414.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.296963624863456739222085740162,142,93.0,278.0,205.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.819632551593052238799334957034,143,84.0,274.0,204.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.988885915825279058818818213341,144,89.0,271.0,190.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294787424199396874862785223144,145,87.0,278.0,194.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152681616635713136562625985549,146,80.0,279.0,182.0,357.0
