sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.190915773275896316406264676841,33,125.0,322.0,165.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126926382936752961966384880242,34,122.0,304.0,183.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171985911410652087249644959692,35,123.0,295.0,189.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242135305404639291373665592491,36,123.0,300.0,186.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.432450768847052781596872889127,37,115.0,291.0,204.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134616653270249249266422513897,38,112.0,289.0,197.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120187512023386987816327165491,39,114.0,278.0,194.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160655593702234223946995066231,40,109.0,273.0,191.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163989052305544929473868266146,41,108.0,258.0,192.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260205635460460335999722972053,42,101.0,266.0,194.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113057062250329855582979264758,43,106.0,278.0,195.0,407.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224669227803581776444335995573,44,101.0,325.0,177.0,394.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149074093592842105558641558990,45,122.0,333.0,176.0,390.0
