sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.290947274496923607998513256823,33,125.0,323.0,165.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215785010418995767823277803492,34,124.0,303.0,188.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331318823535752468807310822808,35,121.0,295.0,188.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.144144031739815939131191040750,36,120.0,293.0,185.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239329084110256642640970255693,37,121.0,298.0,196.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331248463997387699708021786592,38,116.0,283.0,201.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100705189455529882526752548995,39,115.0,286.0,196.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205495952114384895299110604045,40,108.0,255.0,197.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333629874043800246294170008484,41,103.0,254.0,192.0,405.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234915899840532609206747149867,42,101.0,270.0,197.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229670442320770225482888016858,43,99.0,272.0,207.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178379657379145344262598560513,44,101.0,324.0,185.0,400.0
