sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.259358207096195628304676571224,7,161.0,278.0,240.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311779529841011018465662993505,8,155.0,270.0,253.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.909951563165376764809447038578,9,156.0,270.0,256.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257896840139132716745629440488,10,165.0,275.0,243.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122540752162203224165549871989,11,162.0,278.0,245.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.714895899742045854567695700579,12,163.0,265.0,257.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282483007087900263257496416538,13,167.0,267.0,257.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.902826742746306761360478419075,14,169.0,266.0,257.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166124868792561750310674666194,15,165.0,255.0,253.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.890595734674589718041778820408,16,174.0,258.0,256.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170236526358357800582717722714,17,183.0,252.0,243.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329094588802255482113953694639,18,184.0,246.0,233.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289894945165123085457413924430,19,188.0,239.0,237.0,343.0
