sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.166782705580537822713601439843,43,240.0,268.0,264.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.369411754092508379759597203934,44,240.0,267.0,266.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197916982997797468220975234366,45,240.0,267.0,265.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333566414728066070673985339877,46,238.0,264.0,264.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255640789239512375700111775365,47,240.0,271.0,261.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333936493164983006307509950401,48,239.0,264.0,262.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128060825264238870413762554863,49,237.0,264.0,262.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227649639678019646414397907093,50,238.0,268.0,263.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162533844283588785719891096374,51,236.0,266.0,263.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290788417511287539251007604779,52,238.0,264.0,262.0,293.0
