sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.242667174064916574014341891534,127,289.0,337.0,339.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.525732952813324313724428319427,128,282.0,333.0,335.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319637041996386495752703083497,129,284.0,331.0,337.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.474630700511485088086515538608,130,287.0,331.0,336.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.303659520908588560864960702209,131,286.0,330.0,337.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212923223142649142997038398518,132,277.0,325.0,339.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.691451830168249860337633942391,133,277.0,326.0,339.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238391405819236287133853866695,134,277.0,317.0,336.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.308699077596018130589614552064,135,279.0,322.0,336.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232953085716648552723735129376,136,280.0,323.0,334.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.918001714686790448208524435257,137,285.0,325.0,335.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220589437375944484292243693737,138,279.0,325.0,335.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.201340078086788708363808013704,139,279.0,327.0,339.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297510994208249090165737970387,140,280.0,323.0,340.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.443892269851447836842733807201,141,283.0,326.0,341.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297300693485683583115129922271,142,278.0,327.0,338.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240610044999683362875919860586,143,284.0,332.0,340.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284107789751544255810893842428,144,283.0,332.0,339.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217903465723645448740016733499,145,280.0,337.0,334.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114419218308373310623653892150,146,280.0,333.0,344.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.965093496500135709728393569511,147,280.0,330.0,339.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155464410851160984300872661206,148,284.0,335.0,341.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229894003526616526485324024403,149,285.0,339.0,338.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257663159936231448382763335617,150,285.0,342.0,338.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.131322845143176905073681295344,151,288.0,337.0,339.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.551524539006258100549907133940,152,280.0,337.0,337.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230588626051158731406664120559,153,285.0,332.0,341.0,382.0
