sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.165697413289788138749512340159,163,126.0,259.0,159.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206011439759028680036231089481,164,123.0,255.0,157.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.629334285015217660851255402113,165,125.0,258.0,157.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248864323354459060213444749173,166,118.0,255.0,158.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.405399989405889654148493620549,167,123.0,255.0,159.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282412034017423943379897346487,168,125.0,254.0,162.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.226464670754271818429101373513,169,119.0,258.0,165.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.199220343316158952928292666309,170,122.0,257.0,162.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140722879577051440743427621982,171,122.0,262.0,161.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267441675647431217511385528635,172,119.0,256.0,160.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181957563029830133286795622646,173,123.0,257.0,157.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.581943170549227545314614102699,174,122.0,254.0,162.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117203357283047795212572542730,175,123.0,258.0,160.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288486551985114211430422331150,176,118.0,254.0,161.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.466711063140670129728727023774,177,117.0,250.0,162.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334288086564919713152393102147,178,119.0,251.0,164.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.572767378171670765414771710387,179,119.0,253.0,162.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114771432020850064895098282629,180,119.0,253.0,167.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187141503627767200035321326587,181,116.0,254.0,167.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236228685615603949110956433242,182,112.0,251.0,165.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100703229327904293271883495281,183,115.0,252.0,166.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277439382780530184949577635048,184,116.0,254.0,169.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270739335935051137886775012374,185,113.0,256.0,169.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145143036416528652513867778005,186,115.0,257.0,166.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.443051200749723588297334430683,187,112.0,252.0,162.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.890715004209367684242918605839,188,112.0,251.0,162.0,299.0
