sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.214419603877606098722952459168,27,208.0,289.0,240.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334379435679974355105702151263,28,213.0,287.0,239.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253518919813570279872391940710,29,202.0,289.0,236.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.673855718910435535934162053653,30,211.0,290.0,245.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169986520506554093810390245582,31,205.0,286.0,242.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.463936962077644869053502290816,32,211.0,288.0,245.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.562981023119013588324844598839,33,208.0,285.0,238.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294870222706883442362899461017,34,210.0,286.0,236.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194286613882924146435435593064,35,205.0,289.0,240.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229110757026113351400165146989,36,206.0,279.0,241.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.295088779293233590003127907437,37,205.0,288.0,242.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257955432854026339360659964916,38,211.0,282.0,242.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.476091348975205353906505524441,39,206.0,286.0,240.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320810161521244427374561675666,40,202.0,286.0,240.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.429172138404285703184225022111,41,205.0,282.0,243.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140692998267829811892325589285,42,208.0,287.0,248.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156598500014181262777312131926,43,207.0,287.0,240.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282167953780754012024020652259,44,212.0,284.0,245.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218727491397311299836952996078,45,207.0,288.0,238.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.525228809429006218291780831353,46,208.0,289.0,243.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.683259501462560589381565340937,47,208.0,289.0,245.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203803733114286789063546356430,48,208.0,292.0,244.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188873219397461074801144591868,49,212.0,290.0,247.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320578155619989714771844707382,50,210.0,290.0,253.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105956893897188314101835833840,51,212.0,289.0,249.0,313.0
