sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.174462031618324883102111912589,33,290.0,243.0,325.0,269.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141728420156006977341368870396,34,288.0,246.0,328.0,269.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282731005934234151736612568979,35,293.0,242.0,322.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203884239390886640063071197853,36,295.0,241.0,316.0,270.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314624047375498956775846520316,37,291.0,242.0,322.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245582106295154389387606312342,38,288.0,241.0,322.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120406637174874802556462304984,39,291.0,243.0,331.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112711124569641994488344371498,40,284.0,240.0,325.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276270138253954384437730576835,41,283.0,242.0,325.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237017710004860833811047436734,42,281.0,241.0,325.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.475014003689890688223021322474,43,279.0,238.0,329.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114581073674222790392478743714,44,276.0,240.0,318.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258404913831179145167349264325,45,280.0,242.0,322.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278596829517985946068064743996,46,278.0,242.0,322.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112977408026055362361082373871,47,285.0,244.0,322.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.485195930406324159646607161715,48,282.0,233.0,321.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135544000568515838774897032812,49,284.0,227.0,326.0,272.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259513468441885193772150382723,50,281.0,229.0,319.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.708776066725455835921971478871,51,281.0,233.0,331.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.346399381786137309503973001918,52,284.0,237.0,330.0,276.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.131053084713954369322158887129,53,286.0,234.0,331.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202237947393182530490333644316,54,287.0,228.0,325.0,273.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262420183800005001545057467212,55,279.0,222.0,317.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282370911375062848268798121382,56,287.0,235.0,326.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339861578209597205458488115017,57,286.0,223.0,316.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274055961211826190069854288345,58,285.0,226.0,321.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194422625253066193316657801615,59,278.0,218.0,317.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196605608305305160048520018837,60,278.0,224.0,320.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287587942466019259464663188380,61,280.0,222.0,314.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160452787957989531388972947189,62,276.0,218.0,322.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317346960124614114196156414038,63,282.0,218.0,325.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242655104709498146019842646919,64,278.0,220.0,321.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181016972655782111872010875015,65,275.0,219.0,315.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.316242934294197385507372948868,66,280.0,212.0,320.0,272.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261261410739283350944570929805,67,282.0,226.0,323.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207575568272414201235694568941,68,276.0,215.0,312.0,273.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149297479672394743398974239232,69,281.0,218.0,317.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183816046749401850221135967446,70,281.0,224.0,310.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193980013078156397979331137153,71,279.0,215.0,318.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.433703257471691836496344493022,72,275.0,213.0,306.0,273.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.199972496368164239533174628645,73,275.0,218.0,318.0,275.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.922017701589841375939835399534,74,275.0,218.0,309.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.144342303277285913889122102337,75,286.0,226.0,316.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160979843576356591605954715765,76,279.0,218.0,328.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291227941196075266545304884090,77,280.0,226.0,312.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276629313234525842278879901320,78,280.0,219.0,314.0,265.0
