sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.158343078768435463649488860174,152,292.0,237.0,323.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.246862015248629201844115086728,153,297.0,238.0,323.0,270.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293884058380677709784114864921,154,295.0,241.0,322.0,269.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117703231912925299471231135181,155,295.0,241.0,324.0,276.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166449224792455096155806594689,156,290.0,241.0,323.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.231570426290383233613323927450,157,289.0,241.0,323.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164013287365350046333289111701,158,281.0,242.0,323.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187215560245573863765929411836,159,282.0,239.0,331.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125875923129898018459957024744,160,279.0,242.0,323.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135964826225698394282508400107,161,273.0,235.0,325.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.119686090363874003322311228952,162,276.0,242.0,323.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109698144202380163145301320488,163,282.0,243.0,318.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.436319437084763552572188690856,164,282.0,243.0,321.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256922852709970300798033033415,165,278.0,241.0,325.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252779343690278364888084935343,166,281.0,231.0,326.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.493345604297563726522221207461,167,280.0,233.0,319.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210525494314585264518611759544,168,286.0,232.0,321.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214964253886896055247060343294,169,289.0,236.0,327.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126563718530177470609378895791,170,282.0,238.0,324.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135831904182359287744829300524,171,285.0,236.0,322.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254735164190703033314741245911,172,286.0,238.0,328.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.308223846835605138524433823037,173,289.0,231.0,322.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.393854551684962899872988822049,174,289.0,233.0,319.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106956480332865313265289163402,175,288.0,233.0,316.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211762574656677396999593851755,176,284.0,228.0,322.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206365945552995591943342249091,177,281.0,223.0,327.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210080189396691300792710701789,178,286.0,224.0,322.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338391090429088264461928719477,179,284.0,230.0,326.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263597527039552030111312918173,180,278.0,223.0,319.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133651538453566584703847824184,181,283.0,219.0,321.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110086825926366133467896112642,182,269.0,218.0,325.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.946231438752558821442442753213,183,280.0,220.0,322.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101039757314767159044139932955,184,279.0,220.0,321.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170205760713371607509919575670,185,280.0,215.0,325.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324989457817882646476034002644,186,281.0,213.0,322.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245742719110215791423569304763,187,275.0,211.0,323.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302954564572505697399893707767,188,278.0,213.0,313.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197934710656664901822405831731,189,276.0,221.0,322.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152597525286180882086428145662,190,275.0,223.0,313.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178149691232447287532331483560,191,281.0,218.0,311.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222098450672554861879767834747,192,275.0,212.0,314.0,280.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256742806134051366093254719338,193,278.0,226.0,310.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.699215337022502979430667811140,194,281.0,220.0,312.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.131064967216050164414263517200,195,282.0,218.0,311.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.921103453132826346287962007834,196,277.0,223.0,314.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165696197487096357135092745714,197,278.0,218.0,314.0,277.0
