sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.239388739726530762742638588407,256,295.0,331.0,320.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254388695158009129925023235796,257,294.0,328.0,325.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.366173482483571556599679251687,258,293.0,327.0,330.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.157244813782853532886778785006,259,294.0,325.0,328.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314240720210805164343069243985,260,293.0,321.0,330.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219635110987506761404695643430,261,295.0,315.0,334.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158722448941703257602873860384,262,298.0,314.0,331.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219806036498008132669325276480,263,299.0,311.0,327.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182292633298943752790956846080,264,299.0,308.0,330.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193786178334921020217454454824,265,298.0,311.0,333.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203141699845932114139206382663,266,299.0,313.0,330.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312379046512732763884185128466,267,297.0,315.0,330.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106022718989224761914605455344,268,299.0,316.0,333.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159329245077650518092024320569,269,293.0,311.0,335.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322141796496036779174690639014,270,286.0,315.0,330.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136171188563631249231147992541,271,290.0,313.0,330.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337258387555284292896137089482,272,289.0,312.0,328.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110438019334674280656972067534,273,287.0,308.0,331.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152263004578619350697428738032,274,286.0,314.0,331.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161303571210838469104617884224,275,290.0,313.0,332.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128565776748023779214397322400,276,288.0,312.0,329.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200676682687397540918964742190,277,284.0,311.0,330.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.787942570821536432521692282006,278,286.0,316.0,331.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140287745470944401934791733626,279,287.0,316.0,330.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.332076682506135809244519798759,280,291.0,320.0,333.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276149163227037814079846269809,281,280.0,308.0,330.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.246089272488967352673331935782,282,281.0,314.0,327.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336722396382400745754179847622,283,287.0,306.0,332.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225555301522964473504156491427,284,283.0,312.0,329.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223594220648611383960944189688,285,290.0,318.0,329.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298340332114668690440676357775,286,286.0,317.0,332.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.733958405168774796992011788918,287,283.0,319.0,333.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300736074702569883460029935194,288,284.0,315.0,330.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.528797083349464191548669365120,289,285.0,319.0,332.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169954305042888396244324914235,290,281.0,315.0,328.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214154087613744575174806811995,291,285.0,314.0,330.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.730079289151422657523146498620,292,287.0,321.0,330.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.583096256791622432532223319810,293,293.0,321.0,335.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194711283802860876787228540282,294,290.0,323.0,330.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.678496549585181331056013444474,295,291.0,321.0,331.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333414915060939583351447109745,296,290.0,317.0,326.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.509890821791158126828949667089,297,290.0,318.0,331.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216806640907404503945825351646,298,291.0,317.0,333.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.777281228794267689611115764167,299,293.0,311.0,335.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.828448759762906001737649168589,300,289.0,310.0,334.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305468581950911479448325867426,301,287.0,308.0,333.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.868374631939222873194465949678,302,287.0,310.0,333.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266644386574022051560550487316,303,296.0,319.0,333.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310683572504162375040109467527,304,294.0,307.0,331.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191654008178162032556112680809,305,297.0,318.0,329.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.523334469562519215633473415801,306,294.0,317.0,330.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195788240845770864215337386071,307,292.0,315.0,329.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.340218143635930802475155231553,308,290.0,317.0,330.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112549716866730591125565401411,309,294.0,317.0,329.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177338012172913866236324379594,310,294.0,320.0,326.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.720041765241552429896551823489,311,296.0,319.0,327.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102866098886817518450090767744,312,298.0,318.0,327.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.777890961441764845471505246172,313,295.0,319.0,324.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238918434226762780042927108485,314,287.0,316.0,323.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135739900980439956301816870637,315,297.0,318.0,323.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155327101205138653901235530809,316,296.0,317.0,320.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.514179755714354003146171408669,317,296.0,318.0,321.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327256963388920367431257422916,318,297.0,319.0,320.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146319040817341020118856287083,319,295.0,318.0,319.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263765963440639305133427507045,320,294.0,319.0,320.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.601260520088414030684977074631,321,295.0,323.0,319.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330919489264845198056332590733,322,294.0,323.0,321.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220966675960608872620777607488,323,298.0,321.0,324.0,362.0
