sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.168889539166764353439866700280,69,301.0,334.0,335.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.777667291997581306554466969840,70,302.0,329.0,334.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.406587530810476231071666994261,71,303.0,330.0,335.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.932497011987736449456637081516,72,301.0,333.0,339.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240473019861965050840260915289,73,305.0,327.0,336.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.201551101029429669521435446202,74,306.0,325.0,337.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.935098366912677583386412150473,75,303.0,321.0,339.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208023769349156371558228851153,76,302.0,319.0,338.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310657629076845781853859005540,77,298.0,318.0,340.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244453676247223172244651237984,78,298.0,312.0,340.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178965558498527455564027214456,79,291.0,314.0,342.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203509463036421299272253187537,80,290.0,307.0,341.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.659485920980007687693310870384,81,290.0,312.0,343.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323901237567343944033219107600,82,294.0,310.0,343.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169422557991080527892966221600,83,287.0,314.0,342.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.272611809096553574106382843666,84,288.0,313.0,338.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232453333806035605433008884394,85,285.0,312.0,340.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164861892978246108269532397800,86,296.0,318.0,341.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130366049576708573544042525014,87,288.0,314.0,347.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.386029413785883731267825944236,88,294.0,318.0,344.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.460560553220836643131019529494,89,295.0,313.0,342.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136553224939332600251649348574,90,294.0,318.0,342.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273288110169901243793735334511,91,290.0,307.0,345.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133918656838100344436254906933,92,291.0,309.0,345.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.936497188331792185302342651406,93,289.0,305.0,344.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.610175472682831057057408694363,94,288.0,303.0,345.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307568962461120082236586179738,95,287.0,306.0,346.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123275838884866606648423987385,96,290.0,304.0,341.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241986298189703903861503312074,97,293.0,299.0,340.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146657785699557677588561286723,98,293.0,303.0,343.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212447475073150627105658064225,99,295.0,304.0,345.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325544741244891502969852702793,100,292.0,304.0,344.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293785625506443860037257051917,101,300.0,305.0,346.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.303152827624273055045316355210,102,301.0,303.0,348.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258213426174207369744622144696,103,295.0,297.0,347.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.848234778991446741549906569785,104,300.0,300.0,345.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150686956028869574170766629714,105,298.0,303.0,344.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.724675438577492416958374258604,106,302.0,309.0,347.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.168480719673013114977276935467,107,304.0,305.0,345.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161637279273431798506806072469,108,302.0,313.0,340.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302613499370683700847698513307,109,298.0,314.0,337.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.968686033847076196145606131166,110,300.0,322.0,341.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181026007780439976512365802754,111,300.0,319.0,340.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135777185886300149462364608998,112,301.0,321.0,338.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.675899099615388597900162558680,113,299.0,325.0,339.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101835870495372258046093941055,114,300.0,323.0,336.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143825312390025583992215407274,115,296.0,318.0,333.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185637972843329966181340249529,116,298.0,324.0,334.0,373.0
