sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.244538985575797823054683906848,126,159.0,196.0,190.0,226.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216920093881921542065513550953,127,158.0,194.0,197.0,227.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161749153289328619847633117030,128,156.0,192.0,202.0,228.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177935366878647311267106489922,129,156.0,188.0,199.0,227.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276367548060731773804883313614,130,150.0,190.0,198.0,228.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107788356665143440733554746610,131,151.0,182.0,201.0,232.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337405473526023215712272073628,132,151.0,184.0,201.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258335294643314369595218023861,133,146.0,180.0,206.0,248.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114706690473864760169159753777,134,148.0,181.0,206.0,232.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214528014800736075852687666419,135,148.0,178.0,205.0,243.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277321149894824827848950616160,136,147.0,177.0,207.0,232.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247576863928381170093359864955,137,149.0,171.0,207.0,237.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.446131382609435219093899662863,138,146.0,175.0,205.0,239.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.231974334528092118703233147272,139,148.0,177.0,202.0,234.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312033606767079928807117193872,140,149.0,178.0,206.0,232.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169726176830062408345976511460,141,148.0,179.0,202.0,234.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243057836708575393618586085234,142,149.0,178.0,206.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228855427893013190250580460165,143,151.0,181.0,207.0,238.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.301969814557619586239866947298,144,142.0,175.0,205.0,237.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203659818665005183421804946761,145,144.0,178.0,205.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236652547290185233984666088713,146,148.0,176.0,203.0,235.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211646262999785950218020676520,147,146.0,176.0,203.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185469375097532251966487324510,148,145.0,174.0,205.0,235.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242385757667034226320631728667,149,145.0,179.0,208.0,239.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256061737288497264471659809922,150,148.0,177.0,204.0,238.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101036611949246516780479320453,151,144.0,172.0,202.0,236.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299544579414493248726516100045,152,148.0,171.0,205.0,232.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172390566022042880732234179786,153,144.0,171.0,205.0,234.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.588980146911623909776371842829,154,143.0,175.0,198.0,234.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217363087122956915479897266401,155,140.0,174.0,200.0,234.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155639410318421556016264486450,156,142.0,173.0,200.0,234.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277756665419430197107000798592,157,150.0,174.0,199.0,234.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.458271968090792683206259767769,158,144.0,176.0,198.0,232.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136208366302610821910699956946,159,148.0,175.0,194.0,226.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259174663768785234609502794090,160,141.0,177.0,189.0,224.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318809042331161599825005827671,161,144.0,177.0,195.0,225.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163854855748268152269716413981,162,151.0,173.0,195.0,223.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203681537580896030825020371064,163,151.0,176.0,192.0,223.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233526719192271580050726875801,164,151.0,176.0,190.0,216.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339908426982193982994911787759,165,150.0,171.0,190.0,218.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.975356543385140364588037086896,166,146.0,170.0,187.0,214.0
