sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.319673989833891360503165895943,185,367.0,269.0,399.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.226439823421529263459496607990,186,362.0,263.0,397.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302336647377467455501702039169,187,364.0,268.0,401.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.198157188774813591687233028512,188,362.0,265.0,397.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152100506538896395532632394100,189,366.0,266.0,394.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141511695304762468015352462213,190,362.0,262.0,398.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337139632141221120920879174360,191,362.0,262.0,396.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243723236277406805321908204869,192,364.0,265.0,399.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244576490421243378486274357515,193,364.0,264.0,400.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138854325715676558241806568399,194,360.0,261.0,398.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190886072822545708765070333527,195,362.0,261.0,399.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.538196428589279238071235038358,196,363.0,264.0,400.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104261450278903266367158450043,197,359.0,264.0,397.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.362933208347719849801922186830,198,359.0,261.0,401.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330885091273613762958435741875,199,364.0,263.0,400.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229698649857845021177870303618,200,362.0,266.0,402.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.456678224663783392572138991314,201,363.0,261.0,404.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159527947150100890339556259946,202,356.0,262.0,401.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252360746716825808937982601936,203,361.0,264.0,400.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.303443630579599913856516966905,204,360.0,261.0,406.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212260016018461266945905017320,205,362.0,263.0,396.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.706931010672636326272469511677,206,363.0,264.0,398.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262466272469017594022077964494,207,362.0,260.0,396.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.707326965032257652026509250074,208,366.0,264.0,398.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261445305541402837326690229197,209,366.0,261.0,398.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333592344829710783974476235843,210,367.0,264.0,395.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118952170653357461298174459319,211,362.0,264.0,394.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124328122950296637419102328935,212,363.0,262.0,399.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334449697405091282252574153943,213,365.0,264.0,395.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.594771898377658090430765902076,214,369.0,267.0,395.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242691641146880343280820196439,215,369.0,269.0,396.0,298.0
