sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.290950051540768902500670768573,181,171.0,240.0,189.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117458064316848947772786854595,182,171.0,238.0,183.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.949039377437702697215504129314,183,165.0,238.0,188.0,254.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165668465932140429842034470466,184,164.0,240.0,190.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150370219580306260113428549480,185,167.0,241.0,185.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210747582734677553260549932669,186,167.0,240.0,189.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105534860910011501304925066491,187,168.0,241.0,185.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.673398640212406230772281095355,188,169.0,235.0,190.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217142051341571599039606283012,189,165.0,236.0,189.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.271740869877837683426370185399,190,168.0,237.0,186.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228249998001367371618781018572,191,166.0,239.0,186.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235718970178265721408887740923,192,166.0,241.0,184.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329064340754076771026235082251,193,163.0,237.0,186.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334897304794191115029024225728,194,167.0,243.0,190.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265112228318600402191869974422,195,165.0,244.0,179.0,263.0
