sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.161706458833030952965397180731,49,179.0,264.0,205.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.295966334820538432738034543226,50,179.0,262.0,207.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137138922702415043636082870166,51,173.0,258.0,207.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240302492826609324604274945603,52,179.0,265.0,208.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.638505589734633548848788739619,53,176.0,257.0,206.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236086395738865687201756804458,54,173.0,255.0,208.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238557011586555162349464614191,55,176.0,261.0,208.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.402736060880728624754315050320,56,177.0,258.0,208.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218710993026779910276188788769,57,174.0,253.0,208.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277610991192458805943135885916,58,176.0,253.0,206.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329971886592721878322232611834,59,174.0,257.0,209.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242319534395433423314473439147,60,173.0,256.0,211.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251309392670411574865875301613,61,176.0,253.0,218.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209726923808638666590039029029,62,174.0,257.0,209.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256878110836323018082595899091,63,177.0,257.0,210.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169294373420395578178214201882,64,176.0,253.0,210.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142954895598288589472352350093,65,176.0,257.0,210.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334811140094065306194107188987,66,176.0,258.0,209.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177160001860445710840078734248,67,171.0,249.0,208.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154095473039488374246366423681,68,176.0,250.0,205.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291083909247191201041036072899,69,176.0,255.0,206.0,288.0
