sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.321380913819075741524382756079,54,169.0,258.0,189.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.199940262722431362414255387462,55,168.0,258.0,186.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158111972457758898874945232166,56,167.0,259.0,188.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.787223904268377892122229921170,57,166.0,253.0,194.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.198123384227042764329402962504,58,165.0,243.0,200.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254317344213303493116967671182,59,161.0,241.0,200.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122690449338045069237143627509,60,163.0,226.0,203.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276966105778431403069326170057,61,158.0,224.0,205.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.495697603553807043574805803182,62,154.0,229.0,209.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259978102964488591537119598918,63,146.0,227.0,223.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255473807999367688930066554929,64,148.0,231.0,219.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217563361933382706958102484948,65,146.0,233.0,216.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325480865257753094235435531429,66,145.0,229.0,211.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.559958097216100731459827648089,67,150.0,230.0,209.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320602968100133509004043328556,68,138.0,226.0,218.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164115871295527697443908069316,69,142.0,223.0,204.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290355738085303342989709436224,70,151.0,230.0,208.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229506786255161503973729245183,71,152.0,234.0,204.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202134085471827476872626500727,72,167.0,240.0,201.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.493709062191928295612328557112,73,174.0,241.0,203.0,293.0
