sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.973574600374060587229488640705,141,314.0,311.0,340.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.511658501962338503594359834703,142,314.0,317.0,338.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102327112232649985044931869364,143,314.0,314.0,341.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293676411947393262777713814362,144,319.0,320.0,344.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.881682393284351611886392948198,145,315.0,317.0,345.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136863492337638751304242779605,146,319.0,318.0,344.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123514536515056084770182498421,147,316.0,316.0,345.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318226701154402279731603113829,148,317.0,316.0,344.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297963288684635422076100116660,149,319.0,318.0,345.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264804638580118911377527285693,150,317.0,318.0,342.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319686872260529199732169337671,151,321.0,322.0,345.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.168800891823993686577543144246,152,318.0,325.0,346.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162212157948160011002223477494,153,317.0,323.0,348.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.620997022193794000870151575948,154,319.0,325.0,344.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163241579078176834053061787840,155,319.0,325.0,341.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.557822465204537476234714353467,156,319.0,326.0,343.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.424534040094311055462883136733,157,320.0,327.0,344.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.701113153824928069228352614577,158,319.0,323.0,344.0,350.0
