sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.593683217740150189713399503399,171,196.0,261.0,248.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232358842497256876329368053902,172,187.0,256.0,244.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278038671441827347005925925525,173,188.0,256.0,247.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254992051383972770640978650641,174,188.0,262.0,244.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155737610616490910331453799993,175,186.0,255.0,238.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.180639589620932494627312491947,176,187.0,257.0,240.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.994199435709449222567356541474,177,184.0,256.0,240.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237863832159909324829019910911,178,188.0,253.0,244.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126945632073977853023608085997,179,190.0,254.0,245.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133027797791144238849754271413,180,180.0,250.0,249.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166286425830399859406910136708,181,186.0,261.0,242.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232302978796177641689259109132,182,169.0,248.0,254.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189537263715972236816343522000,183,167.0,251.0,247.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166535511574317731648815375811,184,180.0,258.0,267.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337658305539638117779583396951,185,176.0,257.0,247.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171114090655121521158487992569,186,178.0,260.0,252.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145989067801378799797098449920,187,173.0,252.0,257.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305566713239130733872474401245,188,170.0,252.0,256.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.512787115133644407706432277192,189,172.0,250.0,263.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284873706829411460006896949791,190,172.0,249.0,251.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.775621756442322768000229442340,191,171.0,251.0,253.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241999978627868970926382456148,192,172.0,250.0,259.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306864526794390103333893072409,193,165.0,231.0,256.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145723165509805850272477994085,194,161.0,228.0,255.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.246521251895633638984408212325,195,165.0,227.0,256.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.953698821883677821607742470435,196,162.0,228.0,253.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286105881967600572017747462753,197,165.0,229.0,254.0,309.0
