sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.181452348416335741220656796379,83,182.0,220.0,216.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.553636065573096445311467404961,84,180.0,218.0,219.0,260.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150071882158057677196006735189,85,180.0,218.0,218.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202192592079335745083151667507,86,176.0,221.0,212.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.405444833621872803287782750901,87,180.0,215.0,216.0,266.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196699793819630740950607441500,88,177.0,221.0,223.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109158930432088243303152408475,89,183.0,217.0,217.0,260.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238777840481116031825843664984,90,178.0,214.0,219.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193997646742012427318370814275,91,181.0,216.0,219.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202021735793767249432779735203,92,181.0,216.0,219.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146526018438163407278954287276,93,178.0,214.0,222.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111858241087333744375596679460,94,181.0,217.0,220.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193457686939587001602271575762,95,176.0,214.0,222.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.730329485871038383096142902009,96,179.0,213.0,221.0,267.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.611483948180878149914806323537,97,181.0,213.0,222.0,263.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.560472906676059098018147715136,98,180.0,211.0,219.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.714326014007311696409948938574,99,181.0,214.0,222.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220452410976212272146229007177,100,173.0,212.0,217.0,259.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278006053695350275072852127568,101,172.0,207.0,222.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178700229841409816071319792973,102,180.0,217.0,223.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.652259697939067370178395913221,103,183.0,209.0,220.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172896584675881026160039695834,104,187.0,214.0,219.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264236574545201707031906222179,105,189.0,210.0,222.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171339391070009122616777052109,106,190.0,213.0,221.0,248.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.430474402003704189331591064748,107,190.0,209.0,221.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313267725341890191323908594218,108,190.0,207.0,220.0,249.0
