sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.877776413446066997445505202479,265,190.0,297.0,224.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.941465685170781956309545346472,266,188.0,296.0,226.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261859617685033282570321136676,267,191.0,299.0,231.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161513322408552058989437620635,268,192.0,298.0,226.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242538592403922759674374444339,269,181.0,294.0,223.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112538335164402403865592861079,270,184.0,290.0,226.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294175115515700641133007163612,271,187.0,280.0,233.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.560390019460736751385842968722,272,184.0,282.0,235.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117847516355259789614333388842,273,183.0,281.0,228.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336738089581416703641682725396,274,176.0,273.0,235.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109068171587405344939789775600,275,183.0,282.0,232.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.553931488618516105843840893546,276,180.0,282.0,233.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.663960700014187270175846944188,277,180.0,286.0,237.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251863754573974642200633890437,278,177.0,287.0,236.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.969965557804845534353964279389,279,189.0,296.0,224.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147668057706676225919589685402,280,182.0,301.0,229.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.687249547316004515435386587307,281,183.0,301.0,228.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320735404131844564111739583275,282,184.0,305.0,230.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206636712347233889811828145212,283,182.0,296.0,230.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222174479292082515580125301756,284,179.0,302.0,226.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289476480207764894259196991061,285,187.0,300.0,223.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.823259811918227033200664322125,286,183.0,306.0,228.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.409249153553415938692441127464,287,186.0,302.0,228.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309717551725678927983505230221,288,181.0,295.0,240.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.534719125952219425952682242604,289,180.0,289.0,230.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336990233823024566125260765725,290,182.0,280.0,232.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187621891804676053826755779264,291,183.0,286.0,233.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179872624416077271935183704341,292,164.0,282.0,230.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181983616014413304253482126147,293,173.0,284.0,236.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.897803033568299627739553130966,294,174.0,290.0,235.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.694088216529674685927125943639,295,171.0,292.0,229.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123970308052786379181103894877,296,176.0,296.0,227.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266269977796139378713083673723,297,170.0,289.0,227.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280611621055973067666777104251,298,170.0,291.0,226.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192306473782238191263825574764,299,164.0,297.0,222.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223710770140642580271610537580,300,172.0,296.0,231.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220046907372481901604724271119,301,173.0,299.0,230.0,353.0
