sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.199548741835473581414056168348,58,176.0,353.0,196.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.383207752847891922370660982561,59,173.0,352.0,201.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294788451795757986992095170702,60,173.0,354.0,200.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.942612063050601105240230552214,61,174.0,350.0,207.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329109268507135778940735962884,62,176.0,353.0,200.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138943905209144558936450848162,63,176.0,353.0,198.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141486124245228311670007357768,64,170.0,350.0,198.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106221862512280585266046466363,65,169.0,348.0,202.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158463646492262426043700724722,66,171.0,352.0,199.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129805685589897726775042258288,67,176.0,352.0,198.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128052108542520461019096360762,68,173.0,350.0,204.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.997038489191228166017039654410,69,166.0,346.0,198.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197408474324848745746538336595,70,165.0,350.0,197.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.226020826240618631781706561596,71,171.0,350.0,194.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.711258892476935728791640139782,72,167.0,350.0,194.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.906918438603041696415804462266,73,173.0,351.0,193.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.693794366156157011205177754914,74,169.0,353.0,197.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302901406989474142127293986834,75,169.0,347.0,193.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279015368747337774098160586289,76,168.0,349.0,193.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135119294538125669355216519564,77,169.0,350.0,193.0,379.0
