sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.469208465036047238292980224672,140,297.0,313.0,329.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101277875087483540827104643440,141,290.0,311.0,332.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.868446893484405501308201193790,142,298.0,310.0,327.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.695669024642958744718222851125,143,298.0,310.0,334.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228654812514692208513122767344,144,298.0,314.0,335.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292128939588438945937103898248,145,288.0,308.0,330.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100540312498073899565765950270,146,296.0,304.0,332.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122264736709227400272768452150,147,294.0,311.0,337.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206586586271726504118669884581,148,291.0,305.0,335.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135028675657891354888601784264,149,295.0,306.0,340.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285757344630470201146192777567,150,302.0,308.0,342.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259923968938378118236239630383,151,294.0,306.0,345.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150327173108198314646132516594,152,294.0,302.0,338.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.491280577836231751584219528711,153,296.0,298.0,346.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.429606459418989926084681457474,154,290.0,294.0,349.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325896058262835437201891628139,155,290.0,290.0,350.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268104352027845177286113242033,156,292.0,289.0,348.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251335975540362962446572934766,157,295.0,294.0,344.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326590391348022507948404132839,158,288.0,288.0,352.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268719594184681961023585090935,159,294.0,284.0,351.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113952525979519584366134639225,160,294.0,278.0,354.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266871507051130617043252610604,161,290.0,279.0,359.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309209641598594013598889816561,162,291.0,277.0,358.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117241843093884005987859242991,163,287.0,265.0,369.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.168568051500632428614098862742,164,293.0,268.0,380.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192268941263856956016039567247,165,294.0,274.0,382.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.829179754925981754066992253657,166,294.0,278.0,364.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273902690182020022109086945178,167,302.0,277.0,364.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147323108432888456490254005230,168,292.0,274.0,368.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.769024763473393780272288655840,169,297.0,274.0,374.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305618892040299565270507274540,170,294.0,279.0,379.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223605915214858531980257903775,171,293.0,280.0,371.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280359659767613940992739536194,172,288.0,280.0,364.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258007368322181901292623138073,173,301.0,286.0,369.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213189889458773243349216796905,174,298.0,280.0,379.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273237056183544380973354672702,175,295.0,283.0,390.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263573716894777705266745268205,176,303.0,289.0,384.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161101751449702189468835234681,177,295.0,289.0,383.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.563142606013809888227587255729,178,294.0,292.0,387.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228376258580282367885468222280,179,296.0,290.0,389.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154997284571664722550599063980,180,298.0,295.0,383.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.827924552715587875338477966420,181,301.0,291.0,388.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156613502924799748555393955542,182,297.0,286.0,387.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135180093914588771695164611436,183,298.0,286.0,390.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.888555287909993449425827808647,184,297.0,284.0,386.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162699467328252555147397314257,185,293.0,278.0,390.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247606365000048688657478090056,186,293.0,275.0,388.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166069577104717004901140852746,187,291.0,282.0,391.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220678517875387436472778162887,188,291.0,279.0,390.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325584725291227883750736596441,189,293.0,265.0,387.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285551032453236723862638491015,190,295.0,269.0,394.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.903203799319073287886812358112,191,290.0,264.0,388.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193335685129978573777127676150,192,297.0,262.0,389.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291381877134211218671786851179,193,289.0,258.0,390.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136543045663089269670373638524,194,299.0,272.0,390.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196109827479080924516974028884,195,298.0,279.0,365.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118510407786536729209447788637,196,297.0,282.0,359.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232587605065260755468509883460,197,297.0,281.0,363.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208448503644620752924294968128,198,290.0,278.0,351.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148631247758476252468874371428,199,290.0,269.0,359.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310591648474046358976969986244,200,284.0,273.0,359.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326026342016247784684603102650,201,293.0,273.0,356.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117726672968410244367552666526,202,298.0,275.0,358.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159340351950691551787273997266,203,297.0,286.0,348.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.501283301187596935779609361258,204,298.0,296.0,355.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107199414797999837600393366271,205,298.0,301.0,355.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.705746588218432409908494092775,206,302.0,314.0,362.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220475935031548214329748837717,207,294.0,311.0,355.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191586385616705771371938167183,208,300.0,313.0,355.0,345.0
